model_code,model_name,capacity_kw,form,list_price,sale_price,monthly_fee,buy_url,sub_url
FQ18GN5BK2,LG 휘센 타워에어컨,7.2,스탠드,5051000,4550000,90500,https://www.lge.co.kr/air-conditioners/fq18gn5bk2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn5bk2?subscCategoryKeyId=254110
FQ18GN5HK2,LG 휘센 타워에어컨,7.2,스탠드,5051000,4550000,90500,https://www.lge.co.kr/air-conditioners/fq18gn5hk2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn5hk2?subscCategoryKeyId=254074
FQ18GN5BA2,LG 휘센 타워에어컨,7.2,스탠드,5051000,4550000,,https://www.lge.co.kr/air-conditioners/fq18gn5ba2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn5ba2?subscCategoryKeyId=251537
FQ18GN5HA2,LG 휘센 타워에어컨,7.2,스탠드,5051000,4550000,,https://www.lge.co.kr/air-conditioners/fq18gn5ha2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn5ha2?subscCategoryKeyId=251539
FQ18FN7BK2,LG 휘센 타워에어컨,7.2,스탠드,5217000,4700000,,https://www.lge.co.kr/air-conditioners/fq18fn7bk2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fn7bk2?subscCategoryKeyId=245783
FQ18FN7BA2,LG 휘센 타워에어컨,7.2,스탠드,5217000,4700000,,https://www.lge.co.kr/air-conditioners/fq18fn7ba2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fn7ba2?subscCategoryKeyId=242231
FQ18GN7BP2,LG 휘센 타워에어컨,7.2,스탠드,5328000,4800000,105500,https://www.lge.co.kr/air-conditioners/fq18gn7bp2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn7bp2?subscCategoryKeyId=254181
FQ18GV6EE2,LG 휘센 타워에어컨,7.2,스탠드,5350000,4820000,103500,https://www.lge.co.kr/air-conditioners/fq18gv6ee2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv6ee2?subscCategoryKeyId=251312
FQ18GN7BA2,LG 휘센 타워에어컨,7.2,스탠드,5550000,5000000,108500,https://www.lge.co.kr/air-conditioners/fq18gn7ba2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn7ba2?subscCategoryKeyId=251264
FQ18GN7HA2,LG 휘센 타워에어컨,7.2,스탠드,5550000,5000000,108500,https://www.lge.co.kr/air-conditioners/fq18gn7ha2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gn7ha2?subscCategoryKeyId=251268
